Accession	Description	Topology	Size (bp)	Phylum	Class	Order	Family	Genus	Species	Plasmid	Strain	Collection date	Country	REP types	MOB types	MPF types 	OriT types	Predicted Mobility
AF416330.1	Ruegeria sp. PR1b plasmid pSD20, complete sequence	circular	76093	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria sp. PR1b	pSD20	PR1b	NA	NA	rep_cluster_1016	NA	NA	NA	Non-mobilizable
AF416331.1	Ruegeria sp. PR1b plasmid pSD25, complete sequence	circular	148650	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria sp. PR1b	pSD25	PR1b	NA	NA	rep_cluster_558,rep_cluster_392	MOBP	MPF_T	NA	Conjugative
AF438419.1	Lactobacillus sakei plasmid pRV500, complete sequence	circular	12959	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sakei	pRV500	NA	NA	NA	rep_cluster_1229	NA	NA	NA	Non-mobilizable
AF441790.2	Synechococcus elongatus PCC 7942 plasmid pANL, complete sequence	circular	46366	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus elongatus	pANL	PCC 7942	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF447808.1	Haemophilus influenzae biotype aegyptius plasmid pF3031, complete sequence	circular	32433	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae	pF3031	NA	NA	NA	rep_cluster_974	MOBP	MPF_T	NA	Conjugative
AF459640.1	Lactobacillus paraplantarum plasmid pC7, complete sequence	circular	2134	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paraplantarum	pC7	NA	NA	NA	rep_cluster_689	NA	NA	NA	Non-mobilizable
AF469112.1	Helicobacter pylori plasmid pHel4 complete sequence	circular	10970	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pHel4	P8	NA	NA	rep_cluster_137	MOBP	NA	NA	Mobilizable
AF469113.1	Helicobacter pylori plasmid pHel5 complete sequence	circular	18291	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pHel5	NA	NA	NA	rep_cluster_137	NA	NA	NA	Non-mobilizable
AF479770.1	Corynebacterium glutamicum 227 plasmid pXZ608, complete sequence	circular	5949	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	pXZ608	227	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF479774.1	Klebsiella pneumoniae plasmid pJHCMW1, complete sequence	circular	11354	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pJHCMW1	NA	NA	NA	ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
AF482428.1	Paracoccus pantotrophus plasmid pWKS1, complete sequence	circular	2697	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus pantotrophus	pWKS1	DSM 11072	NA	NA	NA	MOBV	NA	NA	Mobilizable
AF486522.1	Corynebacterium jeikeium plasmid pB85766, complete sequence	circular	14875	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	pB85766	B85766	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF491307.2	Pseudomonas putida NCIB 9816-4 plasmid pDTG1, complete sequence	circular	83042	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	pDTG1	NCIB 9816-4	NA	NA	rep_cluster_1907	MOBF	MPF_T	NA	Conjugative
AF492560.1	Corynebacterium diphtheriae plasmid pNG2, complete sequence	circular	15100	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae	pNG2	S601	NA	NA	NA	MOBF,MOBP	NA	NA	Mobilizable
AF497970.1	Shigella sonnei plasmid pKKTET7, complete sequence	linear	8401	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei	pKKTET7	NA	NA	NA	ColRNAI_rep_cluster_1987	NA	NA	MOBP	Mobilizable
AF511037.1	Enterococcus faecium plasmid pEFR, complete sequence	circular	3176	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	pEFR	NA	NA	NA	rep_cluster_1425	NA	NA	NA	Non-mobilizable
AF516141.1	Nostoc sp. PCC 7524 plasmid pDU1, complete sequence	linear	6361	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc sp. PCC 7524	pDU1	PCC 7524	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF527822.1	Enterobacter sp. RFL1396 plasmid pEsp1396, complete sequence	circular	5622	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. RFL1396	pEsp1396	RFL1396	NA	NA	ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
AF533985.1	Streptomyces sp. EN27 plasmid pEN2701, complete sequence	circular	12855	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. EN27	pEN2701	EN27	NA	NA	NA	MOBP	NA	NA	Mobilizable
AF546865.2	Weissella cibaria plasmid pKLCB, complete sequence	circular	3353	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella cibaria	pKLCB	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF550415.2	Citrobacter freundii plasmid pCTX-M3, complete sequence	circular	89468	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	pCTX-M3	NA	NA	NA	rep_cluster_1254,IncL/M	MOBP	MPF_I	NA	Conjugative
AF550679.1	Escherichia coli plasmid p1658/97, complete sequence	circular	125491	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	p1658/97	NA	NA	NA	IncFIIA,IncFIB,IncFII	MOBF,MOBP	MPF_F	MOBF	Conjugative
AJ224743.1	Moraxella sp. TA144 plasmid pTA144 Up, complete sequence	circular	1921	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella sp. TA144	pTA144 Up	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AJ293027.1	Uncultured eubacterium pIE1115 plasmid pIE1115, complete sequence	circular	10687	NA	NA	NA	NA	NA	uncultured eubacterium pIE1115	pIE1115	NA	NA	Germany	IncQ1	MOBQ	NA	MOBQ	Mobilizable
AJ297913.2	Uncultured bacterium plasmid pIPO2T, complete sequence	circular	45319	NA	NA	NA	NA	NA	uncultured bacterium	pIPO2T	NA	NA	NA	rep_cluster_236	MOBP	MPF_T	NA	Conjugative
AJ304453.1	Uncultured bacterium plasmid pSB102 complete genome	circular	55578	NA	NA	NA	NA	NA	uncultured bacterium	pSB102	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AJ311718.1	Acinetobacter sp. EB104, plasmid pAC450, complete genome	circular	4379	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. EB104	pAC450	EB104	NA	Germany	NA	NA	NA	NA	Non-mobilizable
AJ428837.1	Gluconobacter oxydans DSM 3504 plasmid pGO128, complete sequence	circular	4340	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans	pGO128	DSM 3504	NA	NA	NA	NA	NA	NA	Non-mobilizable
AJ431260.1	Uncultured bacterium plasmid pB4 complete genome	circular	79370	NA	NA	NA	NA	NA	uncultured bacterium	pB4	NA	NA	NA	IncP	MOBP	MPF_T	MOBP	Conjugative
AJ493278.1	Leuconostoc citreum pLC22R plasmid, complete genome	circular	9935	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc citreum	pLC22R	22R	NA	NA	rep_cluster_589	MOBV	NA	NA	Mobilizable
AJ576039.1	Gordonia westfalica strain DSM44215T plasmid pKB1 complete genome	circular	101016	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia westfalica	pKB1	type strain: DSM 44215	NA	NA	NA	MOBF	NA	NA	Mobilizable
AJ577854.1	Bacillus licheniformis plasmid pFL5, complete plasmid sequence	circular	9150	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	pFL5	FL5	NA	Italy	Inc13	MOBV	NA	NA	Mobilizable
AJ577855.1	Bacillus licheniformis plasmid pFL7, complete plasmid sequence	circular	7853	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	pFL7	FL7	NA	Italy	Inc13	MOBV	NA	NA	Mobilizable
AJ579365.1	Staphylococcus sciuri pSCFS1 plasmid, complete sequence	linear	17108	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sciuri	pSCFS1	NA	NA	Germany:Bavaria	rep_cluster_282	MOBV	NA	MOBV	Mobilizable
AJ639924.1	Uncultured bacterium plasmid pB3 complete genome	circular	56167	NA	NA	NA	NA	NA	uncultured bacterium	pB3	NA	NA	NA	IncP	MOBP	MPF_T	MOBP	Conjugative
AJ744860.1	uncultured bacterium pTB11 plasmid complete genome	circular	68869	NA	NA	NA	NA	NA	uncultured bacterium	pTB11	NA	NA	NA	IncP	MOBP	MPF_T	MOB_unknown	Conjugative
AJ748844.1	Bacillus licheniformis, plasmid pBL63.1 complete genome	circular	3649	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	pBL63.1	63.1	NA	France:Paris	NA	NA	NA	NA	Non-mobilizable
AM157767.1	Uncultured bacterium IncP-1gamma plasmid QKH54 complete genome	circular	69966	NA	NA	NA	NA	NA	uncultured bacterium	QKH54	NA	NA	United Kingdom:Wales, River Taff	rep_cluster_717	NA	NA	NA	Non-mobilizable
AM167518.1	Rahnella sp. 'WMR15' cryptic plasmid pHW15, complete sequence	circular	3002	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella	" ""Rahnella sp.WMR15"""	pHW15	NA	NA	Austria	NA	NA	NA	NA	Non-mobilizable
AM183225.1	Pasteurella trehalosi plasmid pCCK13698, complete genome, isolate 13698	circular	14969	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Bibersteinia	Bibersteinia trehalosi	pCCK13698	NA	NA	France	IncQ1,rep_cluster_723	NA	NA	NA	Non-mobilizable
AM235768.1	Pseudomonas fluorescens SBW25 plasmid pQBR103, complete genome	circular	425094	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	pQBR103	SBW25	NA	NA	rep_cluster_1081	NA	MPF_I	NA	Non-mobilizable
AM261282.1	Uncultured bacterium IncP-1 plasmid pKJK5 complete sequence	circular	54383	NA	NA	NA	NA	NA	uncultured bacterium	pKJK5	NA	NA	NA	IncP	MOBP	MPF_T	MOBP	Conjugative
AM286416.1	Yersinia enterocolitica subsp. enterocolitica 8081 plasmid pYVe8081 complete genome	circular	67721	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	pYVe8081	8081	NA	NA	IncFII,rep_cluster_645	NA	NA	NA	Non-mobilizable
AM412318.1	Clostridium botulinum A str. ATCC 3502 plasmid pBOT3502 complete genome	circular	16344	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	pBOT3502	ATCC 3502	NA	NA	NA	MOBP	NA	NA	Mobilizable
AM886293.1	Escherichia coli 1540 plasmid pIP1206 complete genome	circular	168113	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pIP1206	NA	NA	NA	IncFIB,IncFIA,IncFII,IncFIIA	MOBF	MPF_F	NA	Conjugative
AM901564.1	Providencia rettgeri plasmid R7K, complete sequence	circular	39792	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia rettgeri	R7K	NA	NA	NA	IncW	MOBF	MPF_T	MOBF	Conjugative
AY004211.1	Brevibacterium linens plasmid LIM, complete sequence	circular	7610	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium linens	LIM	NA	NA	NA	rep_cluster_1135	NA	NA	NA	Non-mobilizable
AY026767.1	Lactococcus lactis subsp. cremoris strain P8-2-47 plasmid pBM02, complete sequence	circular	3854	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	pBM02	P8-2-47	NA	NA	Inc11	MOBV	NA	NA	Mobilizable
AY027524.1	Frankia sp. CpI1 plasmid pFQ12, complete plasmid sequence	circular	22437	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp. CpI1	pFQ12	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AY033392.1	Streptococcus thermophilus plasmid pER13, complete sequence	circular	4139	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	pER13	NA	NA	NA	Inc11	MOBV	NA	NA	Mobilizable
AY033498.1	Klebsiella sp. KCL-2 plasmid pMGD2, complete sequence	circular	3564	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. KCL-2	pMGD2	KCL-2	NA	NA	ColRNAI_rep_cluster_2005	NA	NA	MOBP	Mobilizable
AY033516.1	Klebsiella pneumoniae plasmid pIP843, complete sequence	circular	7086	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pIP843	BM4493	NA	NA	ColRNAI_rep_cluster_1857	NA	NA	NA	Non-mobilizable
AY034092.1	Micrococcus sp. 28 plasmid pSD10, complete sequence	circular	50709	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus sp. 28	pSD10	28	NA	NA	rep_cluster_109	MOBP	MPF_T	NA	Conjugative
AY043298.1	Aeromonas salmonicida subsp. salmonicida plasmid pRAS3.1, complete sequence	circular	11851	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	pRAS3.1	NA	NA	NA	IncQ2	MOBP	NA	NA	Mobilizable
AY043299.1	Aeromonas salmonicida plasmid pRAS3.2, complete sequence	circular	11823	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	pRAS3.2	NA	NA	NA	IncQ2	MOBP	NA	NA	Mobilizable
AY046276.1	Salmonella enterica subsp. enterica serovar Typhimurium plasmid R46, complete sequence	circular	50969	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	R46	NA	NA	NA	IncN	MOBF	MPF_T	MOBF	Conjugative
AY048596.1	Corynebacterium jeikeium plasmid pCJ84, complete sequence	circular	7580	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	pCJ84	CJ84	NA	NA	NA	NA	NA	NA	Non-mobilizable
AY048853.1	Salmonella choleraesuis strain 79500 plasmid pSFD10, complete sequence	circular	4091	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	pSFD10	79500	NA	NA	ColRNAI_rep_cluster_1857	MOBP,MOBP	NA	MOBP	Mobilizable
AY056023.1	Mycobacterium avium plasmid pVT2, complete sequence	circular	12868	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	pVT2	NA	NA	NA	rep_cluster_578	MOBF	NA	NA	Mobilizable
AY057845.1	Zymomonas mobilis strain ZM4 plasmid 1, complete sequence	circular	40991	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	1	ZM4	NA	NA	NA	NA	NA	NA	Non-mobilizable
AY061891.1	Corynebacterium diphtheriae plasmid pNGA2, complete sequence	circular	4191	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae	pNGA2	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AY066026.1	Bifidobacterium longum plasmid pB44, complete sequence	circular	3624	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	pB44	VMKB44	NA	NA	rep_cluster_1351	MOBQ	NA	NA	Mobilizable
AY079086.1	Corynebacterium jeikeium plasmid pK64, complete sequence	circular	10904	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	pK64	K64	NA	NA	NA	NA	NA	NA	Non-mobilizable
AY079199.1	Salmonella enteritidis serovar Enteritidis plasmid pP, complete sequence	circular	4301	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	pP	NA	NA	NA	ColRNAI_rep_cluster_1291	NA	NA	NA	Non-mobilizable
AY082384.1	Lactobacillus reuteri plasmid pTE44, complete sequence	circular	4523	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri	pTE44	AE78	NA	NA	rep_cluster_1187	NA	NA	NA	Non-mobilizable
AY096004.1	Lactobacillus plantarum plasmid pLP2000, complete sequence	circular	2061	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pLP2000	NA	NA	NA	rep_cluster_689	NA	NA	NA	Non-mobilizable
AY096005.1	Lactobacillus plantarum plasmid pLP9000, complete sequence	circular	9253	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pLP9000	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AY123045.1	Erwinia pyrifoliae strain Ep1/96 plasmid pEP36, complete sequence	circular	35904	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia pyrifoliae	pEP36	Ep1/96	NA	NA	rep_cluster_1099	NA	NA	NA	Non-mobilizable
AY123046.1	Erwinia amylovora plasmid pEA1.7, complete sequence	circular	1711	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia amylovora	pEA1.7	IH3-1	NA	NA	NA	NA	NA	MOBP	Mobilizable
AY125331.1	Xanthomonas campestris pv. glycines plasmid pAM22, complete sequence	circular	1960	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas citri	pAM22	AM2	NA	NA	NA	NA	NA	NA	Non-mobilizable
AY126018.1	Bacillus thuringiensis unknown plasmid, complete sequence	circular	6909	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	DAN-involved plasmid	C002	NA	China	rep_cluster_617	NA	NA	NA	Non-mobilizable
AY150274.2	Propionibacterium granulosum cryptic plasmid pPG01, complete sequence	circular	3539	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium granulosum	cryptic plasmid pPG01	PF283	NA	NA	rep_cluster_384	NA	NA	NA	Non-mobilizable
AY167745.1	Moraxella catarrhalis mobilizable plasmid pEMCJH03, complete sequence	circular	3510	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis	pEMCJH03	NA	NA	NA	rep_cluster_1308	MOBP	NA	NA	Mobilizable
AY172684.1	Corynebacterium glutamicum plasmid pAG3, complete sequence	circular	4603	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	pAG3	22220	NA	NA	rep_cluster_207	NA	NA	NA	Non-mobilizable
AY172685.1	Corynebacterium glutamicum plasmid pCG2, complete sequence	circular	6758	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	pCG2	ATCC 31832	NA	NA	rep_cluster_314	NA	NA	NA	Non-mobilizable
AY172687.1	Corynebacterium glutamicum plasmid pGA2, complete sequence	circular	19218	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	pGA2	LP-6	NA	NA	rep_cluster_84	MOBF	NA	NA	Mobilizable
AY178757.1	Rhodococcus erythropolis cryptic plasmid pAN12, complete sequence	linear	6334	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	pAN12	NA	NA	NA	rep_cluster_687	NA	NA	NA	Non-mobilizable
AY188776.1	Weissella cibaria plasmid pKLCA, complete sequence	circular	1490	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella cibaria	pKLCA	NA	NA	NA	rep_cluster_1649	NA	NA	NA	Non-mobilizable
AY210701.1	Bifidobacterium longum plasmid pMG1, complete sequence	circular	3682	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	pMG1	NA	NA	NA	rep_cluster_1351	MOBQ	NA	NA	Mobilizable
AY211023.1	Streptomyces violaceoruber strain SANK95570 plasmid pSV2, complete sequence	linear	96742	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces violaceoruber	pSV2	SANK95570	NA	NA	rep_cluster_1910,rep_cluster_1879	MOBP	NA	NA	Mobilizable
AY223810.1	Rhodococcus erythropolis linear plasmid pBD2, complete sequence	linear	210205	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	pBD2	BD2	NA	NA	NA	NA	NA	NA	Non-mobilizable
AY225511.1	Streptomyces lividans strain 1326 plasmid SLP2, complete sequence	linear	50410	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lividans	SLP2	1326	NA	NA	rep_cluster_1921	NA	NA	NA	Non-mobilizable
AY228335.1	Xanthomonas citri plasmid pXcB, complete sequence	circular	37106	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas citri	pXcB	NA	NA	NA	NA	MOBF	MPF_T	NA	Conjugative
AY230134.1	Bacillus pumilus plasmid pPL7065, complete sequence	linear	7607	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus	pPL7065	ATCC 7065	NA	NA	Inc13	MOBV	NA	NA	Mobilizable
AY232670.1	Pasteurella multocida plasmid pJR1, complete sequence	circular	6792	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	pJR1	NA	NA	NA	rep_cluster_1206	MOBF	NA	NA	Mobilizable
AY232671.1	Pasteurella multocida plasmid pJR2, complete sequence	circular	5252	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	pJR2	NA	NA	NA	IncP	NA	NA	NA	Non-mobilizable
AY250830.1	Streptococcus thermophilus plasmid pND103, complete sequence	circular	3531	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	pND103	ST2-1	NA	NA	rep_cluster_1188	NA	NA	NA	Non-mobilizable
AY255829.1	Erwinia sp. Ejp 556 plasmid pEJ30, complete sequence	circular	29593	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia sp. Ejp 556	pEJ30	Ejp 556	NA	Japan	rep_cluster_1099	NA	NA	NA	Non-mobilizable
AY256846.1	Campylobacter jejuni plasmid pCJ419, complete sequence	circular	4013	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	pCJ419	NA	NA	NA	rep_cluster_840	NA	NA	NA	Non-mobilizable
AY258503.2	Escherichia coli strain EH41 plasmid pO113, complete sequence	linear	165548	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO113	EH41	NA	NA	IncFIB,IncI1	MOBP	MPF_I	MOBP	Conjugative
AY263990.1	Corynebacterium jeikeium plasmid pA505, complete sequence	circular	11946	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	pA505	A505	NA	NA	NA	NA	NA	NA	Non-mobilizable
